OG0002957	LdBPK_210020400.1	LbrM.21.2.001440.1-p1	LINF_210020500-T1-p1	LmjF.21.1240_mRNA-p1	LmxM.21.1240.1-p1
OG0002958	LdBPK_210020500.1	LbrM.21.2.001450.1-p1	LINF_210020600-T1-p1	LmjF.21.1250_mRNA-p1	LmxM.21.1250.1-p1
OG0002959	LdBPK_210020600.1	LbrM.21.2.001460.1-p1	LINF_210020700-T1-p1	LmjF.21.1260_mRNA-p1	LmxM.21.1260.1-p1
OG0002960	LdBPK_210020700.1	LbrM.21.2.001470.1-p1	LINF_210020800-T1-p1	LmjF.21.1270_mRNA-p1	LmxM.21.1270.1-p1
OG0002961	LdBPK_210020800.1	LbrM.21.2.001480.1-p1	LINF_210020900-T1-p1	LmjF.21.1280_mRNA-p1	LmxM.21.1280.1-p1
OG0002962	LdBPK_210020900.1	LbrM.21.2.001490.1-p1	LINF_210021000-T1-p1	LmjF.21.1290_mRNA-p1	LmxM.21.1290.1-p1
OG0002963	LdBPK_210021000.1	LbrM.21.2.001510.1-p1	LINF_210021100-T1-p1	LmjF.21.1295_mRNA-p1	LmxM.21.1295.1-p1
OG0002964	LdBPK_210021100.1	LbrM.21.2.001520.1-p1	LINF_210021200-T1-p1	LmjF.21.1300_mRNA-p1	LmxM.21.1300.1-p1
OG0002965	LdBPK_210021200.1	LbrM.21.2.001530.1-p1	LINF_210021300-T1-p1	LmjF.21.1310_mRNA-p1	LmxM.21.1310.1-p1
OG0002966	LdBPK_210021300.1	LbrM.21.2.001540.1-p1	LINF_210021400-T1-p1	LmjF.21.1320_mRNA-p1	LmxM.21.1320.1-p1
OG0002967	LdBPK_210021400.1	LbrM.21.2.001570.1-p1	LINF_210021500-T1-p1	LmjF.21.1330_mRNA-p1	LmxM.21.1330partial.1-p1
OG0002968	LdBPK_210021500.1	LbrM.21.2.001580.1-p1	LINF_210021600-T1-p1	LmjF.21.1340_mRNA-p1	LmxM.21.1340.1-p1
OG0002969	LdBPK_210021600.1	LbrM.21.2.001590.1-p1	LINF_210021700-T1-p1	LmjF.21.1350_mRNA-p1	LmxM.21.1350.1-p1
OG0002970	LdBPK_210021700.1	LbrM.21.2.001600.1-p1	LINF_210021800-T1-p1	LmjF.21.1360_mRNA-p1	LmxM.21.1360.1-p1
OG0002971	LdBPK_210021900.1	LbrM.21.2.001610.1-p1	LINF_210022000-T1-p1	LmjF.21.1370_mRNA-p1	LmxM.21.1370.1-p1
OG0002972	LdBPK_210022000.1	LbrM.21.2.002190.1-p1	LINF_210022200-T1-p1	LmjF.21.1380_mRNA-p1	LmxM.21.1380.1-p1
OG0002973	LdBPK_210022300.1	LbrM.21.2.001560.1-p1	LINF_210022600-T1-p1	LmjF.21.1410_mRNA-p1	LmxM.21.1410.1-p1
OG0002974	LdBPK_210022400.1	LbrM.21.2.001550.1-p1	LINF_210022700-T1-p1	LmjF.21.1420_mRNA-p1	LmxM.21.1420.1-p1
OG0002975	LdBPK_210022500.1	LbrM.21.2.001810.1-p1	LINF_210022900-T1-p1	LmjF.21.1430_mRNA-p1	LmxM.21.1430.1-p1
OG0002976	LdBPK_210022600.1	LbrM.21.2.001820.1-p1	LINF_210023000-T1-p1	LmjF.21.1440_mRNA-p1	LmxM.21.1440.1-p1
OG0002977	LdBPK_210022700.1	LbrM.21.2.001830.1-p1	LINF_210023100-T1-p1	LmjF.21.1450_mRNA-p1	LmxM.21.1450.1-p1
OG0002978	LdBPK_210022800.1	LbrM.21.2.001840.1-p1	LINF_210023200-T1-p1	LmjF.21.1460_mRNA-p1	LmxM.21.1460.1-p1
OG0002979	LdBPK_210022900.1	LbrM.21.2.001850.1-p1	LINF_210023300-T1-p1	LmjF.21.1470_mRNA-p1	LmxM.21.1470.1-p1
OG0002980	LdBPK_210023000.1	LbrM.21.2.001620.1-p1	LINF_210023400-T1-p1	LmjF.21.1480_mRNA-p1	LmxM.21.1480.1-p1
OG0002981	LdBPK_210023100.1	LbrM.21.2.001630.1-p1	LINF_210023500-T1-p1	LmjF.21.1490_mRNA-p1	LmxM.21.1490.1-p1
OG0002982	LdBPK_210023200.1	LbrM.21.2.001640.1-p1	LINF_210023600-T1-p1	LmjF.21.1500_mRNA-p1	LmxM.21.1500.1-p1
OG0002983	LdBPK_210023300.1	LbrM.21.2.001650.1-p1	LINF_210023700-T1-p1	LmjF.21.1510_mRNA-p1	LmxM.21.1510.1-p1
OG0002984	LdBPK_210023400.1	LbrM.21.2.001660.1-p1	LINF_210023800-T1-p1	LmjF.21.1520_mRNA-p1	LmxM.21.1520.1-p1
OG0002985	LdBPK_210023600.1	LbrM.21.2.001670.1-p1	LINF_210024000-T1-p1	LmjF.21.1540_mRNA-p1	LmxM.21.1540.1-p1
OG0002986	LdBPK_210023800.1	LbrM.21.2.001690.1-p1	LINF_210024200-T1-p1	LmjF.21.1560_mRNA-p1	LmxM.21.1560.1-p1
OG0002987	LdBPK_210023900.1	LbrM.21.2.001700.1-p1	LINF_210024300-T1-p1	LmjF.21.1552_mRNA-p1	LmxM.21.1552.1-p1
OG0002988	LdBPK_210024000.1	LbrM.21.2.001710.1-p1	LINF_210024400-T1-p1	LmjF.21.1555_mRNA-p1	LmxM.21.1555.1-p1
OG0002989	LdBPK_210024200.1	LbrM.21.2.001730.1-p1	LINF_210024600-T1-p1	LmjF.21.1561_mRNA-p1	LmxM.21.1561.1-p1
OG0002990	LdBPK_210024300.1	LbrM.21.2.001740.1-p1	LINF_210024700-T1-p1	LmjF.21.1563_mRNA-p1	LmxM.21.1563.1-p1
OG0002991	LdBPK_210024400.1	LbrM.21.2.001750.1-p1	LINF_210024800-T1-p1	LmjF.21.1565_mRNA-p1	LmxM.21.1565.1-p1
OG0002992	LdBPK_210024500.1	LbrM.21.2.001760.1-p1	LINF_210024900-T1-p1	LmjF.21.1566_mRNA-p1	LmxM.21.1566.1-p1
OG0002993	LdBPK_210024600.1	LbrM.21.2.001770.1-p1	LINF_210025000-T1-p1	LmjF.21.1568_mRNA-p1	LmxM.21.1568.1-p1
OG0002994	LdBPK_210024700.1	LbrM.21.2.001780.1-p1	LINF_210025100-T1-p1	LmjF.21.1567_mRNA-p1	LmxM.21.1567.1-p1
OG0002995	LdBPK_210024800.1	LbrM.21.2.001790.1-p1	LINF_210025200-T1-p1	LmjF.21.1569_mRNA-p1	LmxM.21.1569.1-p1
OG0002996	LdBPK_210025100.1	LbrM.21.2.001870.1-p1	LINF_210025500-T1-p1	LmjF.21.1590_mRNA-p1	LmxM.21.1590.1-p1
OG0002997	LdBPK_210025200.1	LbrM.21.2.001880.1-p1	LINF_210025600-T1-p1	LmjF.21.1600_mRNA-p1	LmxM.21.1600.1-p1
OG0002998	LdBPK_210025300.1	LbrM.21.2.001890.1-p1	LINF_210025700-T1-p1	LmjF.21.1605_mRNA-p1	LmxM.21.1605.1-p1
OG0002999	LdBPK_210025400.1	LbrM.21.2.001900.1-p1	LINF_210025800-T1-p1	LmjF.21.1610_mRNA-p1	LmxM.21.1610.1-p1
OG0003000	LdBPK_210025500.1	LbrM.21.2.001910.1-p1	LINF_210025900-T1-p1	LmjF.21.1620_mRNA-p1	LmxM.21.1620.1-p1
OG0003001	LdBPK_210025600.1	LbrM.21.2.001920.1-p1	LINF_210026000-T1-p1	LmjF.21.1630_mRNA-p1	LmxM.21.1630.1-p1
OG0003002	LdBPK_210025700.1	LbrM.21.2.001930.1-p1	LINF_210026100-T1-p1	LmjF.21.1640_mRNA-p1	LmxM.21.1640.1-p1
OG0003003	LdBPK_210025800.1	LbrM.21.2.001940.1-p1	LINF_210026200-T1-p1	LmjF.21.1650_mRNA-p1	LmxM.21.1650.1-p1
OG0003004	LdBPK_210025900.1	LbrM.21.2.001950.1-p1	LINF_210026300-T1-p1	LmjF.21.1660_mRNA-p1	LmxM.21.1660.1-p1
OG0003005	LdBPK_210026000.1	LbrM.21.2.001960.1-p1	LINF_210026400-T1-p1	LmjF.21.1670_mRNA-p1	LmxM.21.1670.1-p1
OG0003006	LdBPK_210026100.1	LbrM.21.2.001970.1-p1	LINF_210026500-T1-p1	LmjF.21.1675_mRNA-p1	LmxM.21.1675.1-p1
OG0003007	LdBPK_210026200.1	LbrM.21.2.001990.1-p1	LINF_210026600-T1-p1	LmjF.21.1680_mRNA-p1	LmxM.21.1680.1-p1
OG0003008	LdBPK_210026300.1	LbrM.21.2.002000.1-p1	LINF_210026700-T1-p1	LmjF.21.1690_mRNA-p1	LmxM.21.1690.1-p1
OG0003009	LdBPK_210026400.1	LbrM.21.2.002010.1-p1	LINF_210026800-T1-p1	LmjF.21.1700_mRNA-p1	LmxM.21.1700.1-p1
OG0003010	LdBPK_210026500.1	LbrM.21.2.002020.1-p1	LINF_210026900-T1-p1	LmjF.21.1710_mRNA-p1	LmxM.21.1710.1-p1
OG0003011	LdBPK_210026700.1	LbrM.21.2.002040.1-p1	LINF_210027100-T1-p1	LmjF.21.1730_mRNA-p1	LmxM.21.1730.1-p1
OG0003012	LdBPK_210026800.1	LbrM.21.2.002050.1-p1	LINF_210027200-T1-p1	LmjF.21.1740_mRNA-p1	LmxM.21.1740.1-p1
OG0003013	LdBPK_210026900.1	LbrM.21.2.002060.1-p1	LINF_210027300-T1-p1	LmjF.21.1750_mRNA-p1	LmxM.21.1750.1-p1
OG0003014	LdBPK_210027000.1	LbrM.21.2.002070.1-p1	LINF_210027400-T1-p1	LmjF.21.1760_mRNA-p1	LmxM.21.1760.1-p1
OG0003015	LdBPK_210027100.1	LbrM.33.2.000830.1-p1	LINF_210027500-T1-p1	LmjF.21.1770_mRNA-p1	LmxM.21.1770.1-p1
OG0003016	LdBPK_210027500.1	LbrM.33.2.000870.1-p1	LINF_210027900-T1-p1	LmjF.21.1810_mRNA-p1	LmxM.21.1810.1-p1
OG0003017	LdBPK_210027700.1	LbrM.33.2.000890.1-p1	LINF_210028100-T1-p1	LmjF.21.1830_mRNA-p1	LmxM.21.1830.1-p1
OG0003018	LdBPK_210027800.1	LbrM.33.2.000900.1-p1	LINF_210028200-T1-p1	LmjF.21.1840_mRNA-p1	LmxM.21.1840.1-p1
OG0003019	LdBPK_210027900.1	LbrM.33.2.000910.1-p1	LINF_210028300-T1-p1	LmjF.21.1850_mRNA-p1	LmxM.21.1850.1-p1
OG0003020	LdBPK_210028000.1	LbrM.33.2.000911.1-p1	LINF_210028400-T1-p1	LmjF.21.1855_mRNA-p1	LmxM.21.1855.1-p1
OG0003021	LdBPK_210028200.1	LbrM.33.2.000940.1-p1	LINF_210028600-T1-p1	LmjF.21.1870_mRNA-p1	LmxM.21.1870.1-p1
OG0003022	LdBPK_220005200.1	LbrM.22.2.000020.1-p1	LINF_220005200-T1-p1	LmjF.22.0020_mRNA-p1	LmxM.22.0020.1-p1
OG0003023	LdBPK_220005400.1	LbrM.22.2.000040.1-p1	LINF_220005400-T1-p1	LmjF.22.0040_mRNA-p1	LmxM.22.0040.1-p1
OG0003024	LdBPK_220005500.1	LbrM.22.2.000050.1-p1	LINF_220005500-T1-p1	LmjF.22.0050_mRNA-p1	LmxM.22.0050.1-p1
OG0003025	LdBPK_220005600.1	LbrM.22.2.000060.1-p1	LINF_220005600-T1-p1	LmjF.22.0060_mRNA-p1	LmxM.22.0060.1-p1
OG0003026	LdBPK_220005700.1	LbrM.22.2.000070.1-p1	LINF_220005700-T1-p1	LmjF.22.0070_mRNA-p1	LmxM.22.0070.1-p1
OG0003027	LdBPK_220005800.1	LbrM.22.2.000080.1-p1	LINF_220005800-T1-p1	LmjF.22.0080_mRNA-p1	LmxM.22.0080.1-p1
OG0003028	LdBPK_220005900.1	LbrM.22.2.000090.1-p1	LINF_220005900-T1-p1	LmjF.22.0090_mRNA-p1	LmxM.22.0090.1-p1
OG0003029	LdBPK_220006000.1	LbrM.22.2.000100.1-p1	LINF_220006000-T1-p1	LmjF.22.0100_mRNA-p1	LmxM.22.0100.1-p1
OG0003030	LdBPK_220006100.1	LbrM.22.2.000110.1-p1	LINF_220006100-T1-p1	LmjF.22.0110_mRNA-p1	LmxM.22.0110.1-p1
OG0003031	LdBPK_220006200.1	LbrM.22.2.000120.1-p1	LINF_220006300-T1-p1	LmjF.22.0120_mRNA-p1	LmxM.22.0120.1-p1
OG0003032	LdBPK_220006300.1	LbrM.22.2.000140.1-p1	LINF_220006400-T1-p1	LmjF.22.0140_mRNA-p1	LmxM.22.0140.1-p1
OG0003033	LdBPK_220006400.1	LbrM.22.2.000150.1-p1	LINF_220006500-T1-p1	LmjF.22.0150_mRNA-p1	LmxM.22.0150.1-p1
OG0003034	LdBPK_220006500.1	LbrM.22.2.000160.1-p1	LINF_220006600-T1-p1	LmjF.22.0160_mRNA-p1	LmxM.22.0160.1-p1
OG0003035	LdBPK_220006600.1	LbrM.22.2.000170.1-p1	LINF_220006700-T1-p1	LmjF.22.0170_mRNA-p1	LmxM.22.0170.1-p1
OG0003036	LdBPK_220006700.1	LbrM.22.2.000180.1-p1	LINF_220006800-T1-p1	LmjF.22.0180_mRNA-p1	LmxM.22.0180.1-p1
OG0003037	LdBPK_220006900.1	LbrM.22.2.000200.1-p1	LINF_220007000-T1-p1	LmjF.22.0210_mRNA-p1	LmxM.22.0210.1-p1
OG0003038	LdBPK_220007000.1	LbrM.22.2.000210.1-p1	LINF_220007100-T1-p1	LmjF.22.0220_mRNA-p1	LmxM.22.0220.1-p1
OG0003039	LdBPK_220007100.1	LbrM.22.2.207340.1-p1	LINF_220007200-T1-p1	LmjF.22.0230_mRNA-p1	LmxM.22.0230.1-p1
OG0003040	LdBPK_220007200.1	LbrM.22.2.000230.1-p1	LINF_220007300-T1-p1	LmjF.22.0240_mRNA-p1	LmxM.22.0240.1-p1
OG0003041	LdBPK_220007300.1	LbrM.22.2.000240.1-p1	LINF_220007400-T1-p1	LmjF.22.0250_mRNA-p1	LmxM.22.0250.1-p1
OG0003042	LdBPK_220007400.1	LbrM.22.2.000250.1-p1	LINF_220007500-T1-p1	LmjF.22.0260_mRNA-p1	LmxM.22.0260.1-p1
OG0003043	LdBPK_220007500.1	LbrM.22.2.000260.1-p1	LINF_220007600-T1-p1	LmjF.22.0270_mRNA-p1	LmxM.22.0270.1-p1
OG0003044	LdBPK_220007600.1	LbrM.22.2.000261.1-p1	LINF_220007700-T1-p1	LmjF.22.0275_mRNA-p1	LmxM.22.0275.1-p1
OG0003045	LdBPK_220007700.1	LbrM.22.2.000270.1-p1	LINF_220007800-T1-p1	LmjF.22.0280_mRNA-p1	LmxM.22.0280.1-p1
OG0003046	LdBPK_220007800.1	LbrM.22.2.000280.1-p1	LINF_220007900-T1-p1	LmjF.22.0290_mRNA-p1	LmxM.22.0290.1-p1
OG0003047	LdBPK_220007900.1	LbrM.22.2.000290.1-p1	LINF_220008000-T1-p1	LmjF.22.0300_mRNA-p1	LmxM.22.0300.1-p1
OG0003048	LdBPK_220008000.1	LbrM.22.2.000300.1-p1	LINF_220008100-T1-p1	LmjF.22.0310_mRNA-p1	LmxM.22.0310.1-p1
OG0003049	LdBPK_220008100.1	LbrM.22.2.000310.1-p1	LINF_220008200-T1-p1	LmjF.22.0320_mRNA-p1	LmxM.22.0320.1-p1
OG0003050	LdBPK_220008200.1	LbrM.22.2.000320.1-p1	LINF_220008300-T1-p1	LmjF.22.0330_mRNA-p1	LmxM.22.0330.1-p1
OG0003051	LdBPK_220008400.1	LbrM.22.2.000330.1-p1	LINF_220008500-T1-p1	LmjF.22.0350_mRNA-p1	LmxM.22.0350.1-p1
OG0003052	LdBPK_220008500.1	LbrM.22.2.000340.1-p1	LINF_220008600-T1-p1	LmjF.22.0360_mRNA-p1	LmxM.22.0360.1-p1
OG0003053	LdBPK_220008600.1	LbrM.22.2.000350.1-p1	LINF_220008700-T1-p1	LmjF.22.0370_mRNA-p1	LmxM.22.0370.1-p1
OG0003054	LdBPK_220008700.1	LbrM.22.2.000360.1-p1	LINF_220008800-T1-p1	LmjF.22.0380_mRNA-p1	LmxM.22.0380.1-p1
OG0003055	LdBPK_220008800.1	LbrM.22.2.000370.1-p1	LINF_220008900-T1-p1	LmjF.22.0390_mRNA-p1	LmxM.22.0390.1-p1
OG0003056	LdBPK_220008900.1	LbrM.22.2.000380.1-p1	LINF_220009000-T1-p1	LmjF.22.0400_mRNA-p1	LmxM.22.0400.1-p1
OG0003057	LdBPK_220009000.1	LbrM.22.2.000390.1-p1	LINF_220009100-T1-p1	LmjF.22.0410_mRNA-p1	LmxM.22.0410.1-p1
OG0003058	LdBPK_220009600.1	LbrM.22.2.000410.1-p1	LINF_220009900-T1-p1	LmjF.22.0440_mRNA-p1	LmxM.22.0440.1-p1
OG0003059	LdBPK_220009900.1	LbrM.22.2.000420.1-p1	LINF_220010200-T1-p1	LmjF.22.0470_mRNA-p1	LmxM.22.0470.1-p1
OG0003060	LdBPK_220010000.1	LbrM.22.2.000430.1-p1	LINF_220010300-T1-p1	LmjF.22.0480_mRNA-p1	LmxM.22.0480.1-p1
OG0003061	LdBPK_220010100.1	LbrM.22.2.000440.1-p1	LINF_220010400-T1-p1	LmjF.22.0490_mRNA-p1	LmxM.22.0490.1-p1
OG0003062	LdBPK_220010200.1	LbrM.22.2.000450.1-p1	LINF_220010500-T1-p1	LmjF.22.0500_mRNA-p1	LmxM.22.0500.1-p1
OG0003063	LdBPK_220010300.1	LbrM.22.2.000460.1-p1	LINF_220010600-T1-p1	LmjF.22.0510_mRNA-p1	LmxM.22.0510.1-p1
OG0003064	LdBPK_220010400.1	LbrM.22.2.000470.1-p1	LINF_220010700-T1-p1	LmjF.22.0520_mRNA-p1	LmxM.22.0520.1-p1
OG0003065	LdBPK_220010500.1	LbrM.22.2.000480.1-p1	LINF_220010800-T1-p1	LmjF.22.0530_mRNA-p1	LmxM.22.0530.1-p1
OG0003066	LdBPK_220010600.1	LbrM.22.2.000490.1-p1	LINF_220010900-T1-p1	LmjF.22.0540_mRNA-p1	LmxM.22.0540.1-p1
OG0003067	LdBPK_220010700.1	LbrM.22.2.000500.1-p1	LINF_220011000-T1-p1	LmjF.22.0560_mRNA-p1	LmxM.22.0560.1-p1
OG0003068	LdBPK_220010800.1	LbrM.22.2.000510.1-p1	LINF_220011100-T1-p1	LmjF.22.0570_mRNA-p1	LmxM.22.0570.1-p1
OG0003069	LdBPK_220011000.1	LbrM.22.2.000530.1-p1	LINF_220011300-T1-p1	LmjF.22.0590_mRNA-p1	LmxM.22.0590.1-p1
OG0003070	LdBPK_220011200.1	LbrM.22.2.000550.1-p1	LINF_220011500-T1-p1	LmjF.22.0610_mRNA-p1	LmxM.22.0610.1-p1
OG0003071	LdBPK_220011300.1	LbrM.22.2.000560.1-p1	LINF_220011600-T1-p1	LmjF.22.0620_mRNA-p1	LmxM.22.0620.1-p1
OG0003072	LdBPK_220011500.1	LbrM.22.2.000570.1-p1	LINF_220011800-T1-p1	LmjF.22.0640_mRNA-p1	LmxM.22.0640.1-p1
OG0003073	LdBPK_220011600.1	LbrM.22.2.000580.1-p1	LINF_220011900-T1-p1	LmjF.22.0650_mRNA-p1	LmxM.22.0650.1-p1
OG0003074	LdBPK_220011700.1	LbrM.22.2.000590.1-p1	LINF_220012000-T1-p1	LmjF.22.0660_mRNA-p1	LmxM.22.0660.1-p1
OG0003075	LdBPK_220011800.1	LbrM.22.2.000600.1-p1	LINF_220012100-T1-p1	LmjF.22.0670_mRNA-p1	LmxM.22.0670.1-p1
OG0003076	LdBPK_220011900.1	LbrM.22.2.000610.1-p1	LINF_220012200-T1-p1	LmjF.22.0680_mRNA-p1	LmxM.22.0680.1-p1
OG0003077	LdBPK_220012600.1	LbrM.22.2.000750.1-p1	LINF_220014000-T1-p1	LmjF.22.0810_mRNA-p1	LmxM.22.0810.1-p1
OG0003078	LdBPK_220012700.1	LbrM.22.2.000740.1-p1	LINF_220013900-T1-p1	LmjF.22.0800_mRNA-p1	LmxM.22.0800.1-p1
OG0003079	LdBPK_220012800.1	LbrM.22.2.000730.1-p1	LINF_220013800-T1-p1	LmjF.22.0790_mRNA-p1	LmxM.22.0790.1-p1
OG0003080	LdBPK_220012900.1	LbrM.22.2.207420.1-p1	LINF_220013700-T1-p1	LmjF.22.0780_mRNA-p1	LmxM.22.0780.1-p1
OG0003081	LdBPK_220013000.1	LbrM.22.2.207410.1-p1	LINF_220013600-T1-p1	LmjF.22.0770_mRNA-p1	LmxM.22.0770.1-p1
OG0003082	LdBPK_220013100.1	LbrM.22.2.000700.1-p1	LINF_220013500-T1-p1	LmjF.22.0760_mRNA-p1	LmxM.22.0760.1-p1
OG0003083	LdBPK_220013200.1	LbrM.22.2.000690.1-p1	LINF_220013400-T1-p1	LmjF.22.0750_mRNA-p1	LmxM.22.0750.1-p1
OG0003084	LdBPK_220013300.1	LbrM.22.2.000680.1-p1	LINF_220013300-T1-p1	LmjF.22.0740_mRNA-p1	LmxM.22.0740.1-p1
OG0003085	LdBPK_220013400.1	LbrM.22.2.000660.1-p1	LINF_220013200-T1-p1	LmjF.22.0730_mRNA-p1	LmxM.22.0730.1-p1
OG0003086	LdBPK_220014100.1	LbrM.22.2.000760.1-p1	LINF_220014700-T1-p1	LmjF.22.0870_mRNA-p1	LmxM.22.0870.1-p1
OG0003087	LdBPK_220014200.1	LbrM.22.2.000770.1-p1	LINF_220014800-T1-p1	LmjF.22.0880_mRNA-p1	LmxM.22.0880.1-p1
OG0003088	LdBPK_220014300.1	LbrM.22.2.000780.1-p1	LINF_220014900-T1-p1	LmjF.22.0890_mRNA-p1	LmxM.22.0890.1-p1
OG0003089	LdBPK_220014400.1	LbrM.22.2.000790.1-p1	LINF_220015000-T1-p1	LmjF.22.0900_mRNA-p1	LmxM.22.0900.1-p1
OG0003090	LdBPK_220014500.1	LbrM.22.2.000800.1-p1	LINF_220015100-T1-p1	LmjF.22.0910_mRNA-p1	LmxM.22.0910.1-p1
OG0003091	LdBPK_220014600.1	LbrM.22.2.000820.1-p1	LINF_220015200-T1-p1	LmjF.22.0920_mRNA-p1	LmxM.22.0920.1-p1
OG0003092	LdBPK_220015100.1	LbrM.22.2.000850.1-p1	LINF_220015500-T1-p1	LmjF.22.0950_mRNA-p1	LmxM.22.0950.1-p1
OG0003093	LdBPK_220015200.1	LbrM.22.2.000860.1-p1	LINF_220015600-T1-p1	LmjF.22.0960_mRNA-p1	LmxM.22.0960.1-p1
OG0003094	LdBPK_220015300.1	LbrM.22.2.000870.1-p1	LINF_220015700-T1-p1	LmjF.22.0970_mRNA-p1	LmxM.22.0970.1-p1
OG0003095	LdBPK_220015400.1	LbrM.22.2.000880.1-p1	LINF_220015800-T1-p1	LmjF.22.0980_mRNA-p1	LmxM.22.0980.1-p1
OG0003096	LdBPK_220015500.1	LbrM.22.2.000890.1-p1	LINF_220015900-T1-p1	LmjF.22.0990_mRNA-p1	LmxM.22.0990.1-p1
OG0003097	LdBPK_220015600.1	LbrM.22.2.000900.1-p1	LINF_220016000-T1-p1	LmjF.22.1000_mRNA-p1	LmxM.22.1000.1-p1
OG0003098	LdBPK_220015700.1	LbrM.22.2.000910.1-p1	LINF_220016100-T1-p1	LmjF.22.1010_mRNA-p1	LmxM.22.1010.1-p1
OG0003099	LdBPK_220015800.1	LbrM.22.2.000930.1-p1	LINF_220016300-T1-p1	LmjF.22.1030_mRNA-p1	LmxM.22.1030.1-p1
OG0003100	LdBPK_220015900.1	LbrM.22.2.000940.1-p1	LINF_220016400-T1-p1	LmjF.22.1040_mRNA-p1	LmxM.22.1040.1-p1
OG0003101	LdBPK_220016000.1	LbrM.22.2.000950.1-p1	LINF_220016500-T1-p1	LmjF.22.1050_mRNA-p1	LmxM.22.1050.1-p1
OG0003102	LdBPK_220016100.1	LbrM.22.2.000960.1-p1	LINF_220016600-T1-p1	LmjF.22.1060_mRNA-p1	LmxM.22.1060.1-p1
OG0003103	LdBPK_220016200.1	LbrM.22.2.000970.1-p1	LINF_220016700-T1-p1	LmjF.22.1070_mRNA-p1	LmxM.22.1070.1-p1
OG0003104	LdBPK_220016300.1	LbrM.22.2.000980.1-p1	LINF_220016800-T1-p1	LmjF.22.1080_mRNA-p1	LmxM.22.1080.1-p1
OG0003105	LdBPK_220016400.1	LbrM.22.2.000990.1-p1	LINF_220016900-T1-p1	LmjF.22.1090_mRNA-p1	LmxM.22.1090.1-p1
OG0003106	LdBPK_220016500.1	LbrM.22.2.001000.1-p1	LINF_220017000-T1-p1	LmjF.22.1100_mRNA-p1	LmxM.22.1100.1-p1
OG0003107	LdBPK_220016600.1	LbrM.22.2.001010.1-p1	LINF_220017100-T1-p1	LmjF.22.1110_mRNA-p1	LmxM.22.1110.1-p1
OG0003108	LdBPK_220016700.1	LbrM.22.2.207500.1-p1	LINF_220017200-T1-p1	LmjF.22.1120_mRNA-p1	LmxM.22.1120.1-p1
OG0003109	LdBPK_220016800.1	LbrM.22.2.207510.1-p1	LINF_220017300-T1-p1	LmjF.22.1130_mRNA-p1	LmxM.22.1130.1-p1
OG0003110	LdBPK_220016900.1	LbrM.22.2.001040.1-p1	LINF_220017400-T1-p1	LmjF.22.1140_mRNA-p1	LmxM.22.1140.1-p1
OG0003111	LdBPK_220017000.1	LbrM.22.2.001050.1-p1	LINF_220017500-T1-p1	LmjF.22.1150_mRNA-p1	LmxM.22.1150.1-p1
OG0003112	LdBPK_220017100.1	LbrM.22.2.001060.1-p1	LINF_220017600-T1-p1	LmjF.22.1160_mRNA-p1	LmxM.22.1160.1-p1
OG0003113	LdBPK_220017200.1	LbrM.22.2.001070.1-p1	LINF_220017700-T1-p1	LmjF.22.1170_mRNA-p1	LmxM.22.1170.1-p1
OG0003114	LdBPK_220017500.1	LbrM.22.2.001080.1-p1	LINF_220018000-T1-p1	LmjF.22.1200_mRNA-p1	LmxM.22.1200.1-p1
OG0003115	LdBPK_220017700.1	LbrM.22.2.001100.1-p1	LINF_220018300-T1-p1	LmjF.22.1220_mRNA-p1	LmxM.22.1220.1-p1
OG0003116	LdBPK_220017800.1	LbrM.22.2.001110.1-p1	LINF_220018400-T1-p1	LmjF.22.1230_mRNA-p1	LmxM.22.1230.1-p1
OG0003117	LdBPK_220017900.1	LbrM.22.2.001120.1-p1	LINF_220018500-T1-p1	LmjF.22.1240_mRNA-p1	LmxM.22.1240.1-p1
OG0003118	LdBPK_220018000.1	LbrM.22.2.001130.1-p1	LINF_220018600-T1-p1	LmjF.22.1250_mRNA-p1	LmxM.22.1250.1-p1
OG0003119	LdBPK_220018100.1	LbrM.22.2.001140.1-p1	LINF_220018700-T1-p1	LmjF.22.1260_mRNA-p1	LmxM.22.1260.1-p1
OG0003120	LdBPK_220018200.1	LbrM.22.2.001150.1-p1	LINF_220018800-T1-p1	LmjF.22.1270_mRNA-p1	LmxM.22.1270.1-p1
OG0003121	LdBPK_220018300.1	LbrM.22.2.001160.1-p1	LINF_220018900-T1-p1	LmjF.22.1280_mRNA-p1	LmxM.22.1280.1-p1
OG0003122	LdBPK_220018500.1	LbrM.22.2.001180.1-p1	LINF_220019100-T1-p1	LmjF.22.1300_mRNA-p1	LmxM.22.1300.1-p1
OG0003123	LdBPK_220018600.1	LbrM.22.2.001190.1-p1	LINF_220019200-T1-p1	LmjF.22.1310_mRNA-p1	LmxM.22.1310.1-p1
OG0003124	LdBPK_220019000.1	LbrM.22.2.001210.1-p1	LINF_220019400-T1-p1	LmjF.22.1330_mRNA-p1	LmxM.22.1330.1-p1
OG0003125	LdBPK_220019100.1	LbrM.22.2.001220.1-p1	LINF_220019500-T1-p1	LmjF.22.1340_mRNA-p1	LmxM.22.1340.1-p1
OG0003126	LdBPK_220019300.1	LbrM.22.2.001240.1-p1	LINF_220019700-T1-p1	LmjF.22.1360_mRNA-p1	LmxM.22.1360.1-p1
